titel,prijs,slaapkamers,oppervlakte,perceeloppervlakte,plaats,link,foto,bron
Maison 6 pièces 150 m²,€ 149.000,3,150,,Charleville-Mézières (Victor Hugo),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/6pieces/immo-facile-60973378,https://file.bienici.com/photo/immo-facile-60973378_media.immo-facile.com_office20_justimmo_141123_catalog_images_pr_p_6_0_9_7_3_3_7_8_60973378a.jpg_DATEMAJ_09_07_2026-16_08_55?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 104 m²,€ 149.000,3,104,,Charleville-Mézières (Villette),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/5pieces/immo-facile-60913680,https://file.bienici.com/photo/immo-facile-60913680_media.immo-facile.com_office20_justimmo_141123_catalog_images_pr_p_6_0_9_1_3_6_8_0_60913680a.jpg_DATEMAJ_01_07_2026-10_24_20?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 79 m²,€ 139.000,Onbekend,79,196,Charleville-Mézières (Victor Hugo),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/5pieces/ag311656-548380223,https://file.bienici.com/photo/ag311656-548380223_photos.ubiflow.net_311656_548380223_photos_1.jpg_INSOON_EB_5512801818_20260914112530?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 96 m²,€ 125.000,Onbekend,96,,Charleville-Mézières (Montcy Theux),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/5pieces/ag340369-543278387,https://file.bienici.com/photo/ag340369-543278387_photos.ubiflow.net_340369_543278387_photos_1.jpg_INSOON_EB_5512801818_20260731175725?width=300&height=180&fit=cover,Bien'ici
Maison 5 pièces 163 m²,€ 189.000,4,163,,Charleville-Mézières (Ronde Couture),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/5pieces/iad-france-889011,https://file.bienici.com/photo/iad-france-889011_images.playiad.com_property_broadcast_2026_06_14_019ec69cdc3b0284de6e28428390d89b.png?width=300&height=180&fit=cover,Bien'ici
Maison 7 pièces 166 m²,€ 206.000,Onbekend,166,890,Charleville-Mézières (Villette),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/7pieces/iad-france-931009,https://file.bienici.com/photo/iad-france-931009_images.playiad.com_property_broadcast_2026_06_11_019eb5f0357b92befa14c9b6055ab5b4.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 4 pièces 72 m²,€ 153.900,Onbekend,72,420,Charleville-Mézières (Etion),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/4pieces/iad-france-935175,https://file.bienici.com/photo/iad-france-935175_images.playiad.com_property_broadcast_2026_09_04_01a06bba5e71d8b1b3571fd0c503ddc4.png?width=300&height=180&fit=cover,Bien'ici
Maison 6 pièces 172 m²,€ 210.000,1,172,,Charleville-Mézières (Montcy Theux),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/6pieces/immo-facile-60140454,https://file.bienici.com/photo/immo-facile-60140454_media.immo-facile.com_office20_justimmo_141123_catalog_images_pr_p_6_0_1_4_0_4_5_4_60140454a.jpg_DATEMAJ_02_03_2026-15_09_57?width=300&height=180&fit=cover,Bien'ici
Maison 7 pièces 210 m²,€ 199.000,4,210,,Charleville-Mézières (Montcy Theux),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/7pieces/hektor-2_FUMAY-Agence1-8629,https://file.bienici.com/photo/hektor-2_FUMAY-Agence1-8629_cotefranceimmo.staticlbi.com_original_images_biens_2_d0b755585e46823b70340c9e66621316_photo_afb2bb79edbe211e8c654d840579275d.jpg?width=300&height=180&fit=cover,Bien'ici
Maison 4 pièces 54 m²,€ 83.000,2,54,,Charleville-Mézières (Victor Hugo),https://www.bienici.com/annonce/vente/charleville-mezieres/maison/4pieces/immo-facile-59317753,https://file.bienici.com/photo/immo-facile-59317753_media.immo-facile.com_office20_justimmo_141123_catalog_images_pr_p_5_9_3_1_7_7_5_3_59317753a.jpg_DATEMAJ_03_10_2025-19_17_32?width=300&height=180&fit=cover,Bien'ici
